Busbar,kV,Substation,Voltage
1001A,500,FOURCORN,1.0418352957226507
1001B,500,FOURCORN,0.0
1002A,345,FOURCORN,1.0299999713996817
1002B,345,FOURCORN,0.0
1003A,230,FOURCORN,1.0246648463233952
1003B,230,FOURCORN,0.0
1004A,345,SAN JUAN,1.029999971399458
1004B,345,SAN JUAN,0.0
1032,20,FCNGN4CC,1.0286995107743786
1034,20,SJUAN G4,1.0292852747084595
1101A,500,CORONADO,1.0448373069254404
1101B,500,CORONADO,0.0
1102A,345,CHOLLA,1.0407141304660925
1102B,345,CHOLLA,0.0
1131,20,CORONADO,1.0448373069254404
1201A,500,MOENKOPI,1.070014953783241
1201B,500,MOENKOPI,0.0
1202A,500,NAVAJO,1.051352224418804
1202B,500,NAVAJO,0.0
1232,20,NAVAJO 2,1.0513522244188043
1301A,500,MEAD,1.0299999714039625
1301B,500,MEAD,0.0
1302A,500,H ALLEN,0.9948817170120766
1302B,500,H ALLEN,0.0
1303A,345,H ALLEN,0.985374778438265
1303B,345,H ALLEN,0.0
1331,20,HOOVER,1.0301076327254512
1333,20,H ALLEN,0.9853747784382648
1401A,500,PALOVRDE,1.0499999523278973
1401B,500,PALOVRDE,0.0
1402A,500,WESTWING,1.0485483972883751
1402B,500,WESTWING,0.0
1403A,230,PARKER,1.0279890034108132
1403B,230,PARKER,0.0
1431,20,PALOVRD2,1.0514741643022625
2000A,230,MEXICO,1.0299999714002248
2000B,230,MEXICO,0.0
2030,20,MEXICO,1.029772274394517
2100A,230,IMPERIAL,1.0399999618636624
2100B,230,IMPERIAL,0.0
2130,20,IMPERIAL,1.039836978351529
2201A,500,MIGUEL,1.0358861910955224
2201B,500,MIGUEL,0.0
2202A,230,MIGUEL,1.0309233791419734
2202B,230,MIGUEL,0.0
2203A,230,MISSION,1.0049999952417874
2203B,230,MISSION,0.0
2233,20,MISSION,1.0040230160073156
2301A,500,IMPRLVLY,1.0626763851144263
2301B,500,IMPRLVLY,0.0
2302A,230,IMPRLVLY,1.0606117634437566
2302B,230,IMPRLVLY,0.0
2332,20,IMPRLVLY,1.0606117634437566
2400A,500,DEVERS,1.0384840879081105
2400B,500,DEVERS,0.0
2401A,500,LUGO,1.0565910560457998
2401B,500,LUGO,0.0
2402A,500,MIRALOMA,1.0508162227688993
2402B,500,MIRALOMA,0.0
2403A,500,VALLEY,1.0497692830118983
2403B,500,VALLEY,0.0
2404A,500,VINCENT,1.0498464819809579
2404B,500,VINCENT,0.0
2405A,230,SYLMAR S,1.0301686337042992
2405B,230,SYLMAR S,0.0
2406A,230,EAGLROCK,1.0251113269268242
2406B,230,EAGLROCK,0.0
2407A,230,LITEHIPE,1.0132608845367594
2407B,230,LITEHIPE,0.0
2408A,230,MESA CAL,1.0199999809360734
2408B,230,MESA CAL,0.0
2409A,230,MIRALOMA,1.043956954262348
2409B,230,MIRALOMA,0.0
2410A,230,PARDEE,1.032158856329322
2410B,230,PARDEE,0.0
2411A,230,VINCENT,1.045058393942665
2411B,230,VINCENT,0.0
2431,20,LUGO,1.0565910560457998
2434,20,VINCENT,1.045058393942665
2438,20,MESA CAL,1.0186110812157887
2439,20,MIRALOMA,1.043956954262348
2501A,500,SERRANO,1.0478741715090765
2501B,500,SERRANO,0.0
2502A,230,SERRANO,1.0438941182468058
2502B,230,SERRANO,0.0
2503A,230,S.ONOFRE,1.0271820287168285
2503B,230,S.ONOFRE,0.0
2533,20,S.ONOFRE,1.0271820287168283
2600A,500,ADELANTO,1.0593039292167234
2600B,500,ADELANTO,0.0
2601A,500,RINALDI,1.0563657191931264
2601B,500,RINALDI,0.0
2602A,500,STA E,1.0416523565281357
2602B,500,STA E,0.0
2603A,500,VICTORVL,1.0594977059061368
2603B,500,VICTORVL,0.0
2604A,345,INTERMT,1.0229117803713161
2604B,345,INTERMT,0.0
2605A,230,STA B1,1.0360738285984128
2605B,230,STA B1,0.0
2606A,230,STA B2,1.0360738285984128
2606B,230,STA B2,0.0
2607A,230,VICTORVL,1.0562319089796173
2607B,230,VICTORVL,0.0
2608A,230,CASTAIC,1.0313113504424796
2608B,230,CASTAIC,0.0
2609A,230,GLENDAL,1.0300770899387575
2609B,230,GLENDAL,0.0
2610A,230,HAYNES,1.0000000000097948
2610B,230,HAYNES,0.0
2611A,230,OLIVE,1.0302232574247023
2611B,230,OLIVE,0.0
2612A,230,RINALDI,1.029999971400071
2612B,230,RINALDI,0.0
2613A,230,RIVER,1.0178889478752973
2613B,230,RIVER,0.0
2614A,230,STA BLD,1.0235203116342948
2614B,230,STA BLD,0.0
2615A,230,STA E,1.0302870845112642
2615B,230,STA E,0.0
2616A,230,STA F,1.0193175993776553
2616B,230,STA F,0.0
2617A,230,STA G,1.0217086841280272
2617B,230,STA G,0.0
2618A,230,STA J,1.0292636271988194
2618B,230,STA J,0.0
2619A,230,SYLMARLA,1.0300961740879635
2619B,230,SYLMARLA,0.0
2620A,230,VALLEY,1.0296458116212501
2620B,230,VALLEY,0.0
2621A,115,STA B,1.0293524702034915
2621B,115,STA B,0.0
2630,20,HAYNES3G,0.9987427482189957
2631,20,OLIVE,1.0302232574247023
2634,20,INTERM1G,1.022911780371316
2637,20,OWENS G,1.029301644346285
2638,20,CASTAI4G,1.0313113504424793
2901A,500,ELDORADO,1.0835457499249572
2901B,500,ELDORADO,0.0
2902A,500,MOHAVE,1.0895042063467697
2902B,500,MOHAVE,0.0
3101A,230,EMBRCDRD,1.00742580212674
3101B,230,EMBRCDRD,0.0
3102A,230,MARTIN,1.0082625273570096
3102B,230,MARTIN,0.0
3103A,230,SANMATEO,1.0100351879607796
3103B,230,SANMATEO,0.0
3104A,115,MARTIN,1.003918924635027
3104B,115,MARTIN,0.0
3105A,115,POTRERO,1.0000000000048748
3105B,115,POTRERO,0.0
3133,20,SANMATEO,1.0100351879607796
3135,20,POTRERO,0.9999677069456415
3201A,230,C.COSTA,1.0188721585603016
3201B,230,C.COSTA,0.0
3202A,230,MORAGA,1.0161024116129065
3202B,230,MORAGA,0.0
3203A,230,NEWARK,1.0191081219029536
3203B,230,NEWARK,0.0
3204A,230,PITSBURG,1.0099999904681147
3204B,230,PITSBURG,0.0
3205A,230,SOBRANTE,1.0109774804689626
3205B,230,SOBRANTE,0.0
3234,20,PITSBURG,1.0083929633399653
3301A,500,METCALF,1.0323923746016568
3301B,500,METCALF,0.0
3302A,230,JEFFERSN,1.0255653635722608
3302B,230,JEFFERSN,0.0
3303A,230,METCALF,1.0299999713949517
3303B,230,METCALF,0.0
3304A,230,MONTAVIS,1.0281102697238782
3304B,230,MONTAVIS,0.0
3305A,230,RAVENSWD,1.013672861891397
3305B,230,RAVENSWD,0.0
3333,20,METCALF,1.0302726622024292
3401A,230,GREGG,1.0288613989184847
3401B,230,GREGG,0.0
3402A,230,HELMS PP,1.031130747940989
3402B,230,HELMS PP,0.0
3403A,230,MC CALL,1.0299999713960841
3403B,230,MC CALL,0.0
3404A,230,PANOCHE,1.0322391282515087
3404B,230,PANOCHE,0.0
3405A,230,WILSON,1.024741609980511
3405B,230,WILSON,0.0
3432,20,HELMS PP,1.0311307479409888
3433,20,MC CALL,1.0298176828727132
3501A,230,FULTON,1.0000000000047777
3501B,230,FULTON,0.0
3531,20,FULTON,0.9996716271514459
3601A,115,HUMBOLDT,1.000000000004232
3601B,115,HUMBOLDT,0.0
3631,20,HUMBOLDT,0.9998746960874233
3701A,115,SUMMIT,1.0000000000043816
3701B,115,SUMMIT,0.0
3731,20,SUMMIT,0.9973129409938609
3801A,500,DIABLO,1.0399999618604656
3801B,500,DIABLO,0.0
3802A,500,GATES,1.0467612540857711
3802B,500,GATES,0.0
3803A,500,MIDWAY,1.0525725192894866
3803B,500,MIDWAY,0.0
3804A,230,GATES,1.0286296692349282
3804B,230,GATES,0.0
3805A,230,MIDWAY,1.0299999713972616
3805B,230,MIDWAY,0.0
3806A,230,MORROBAY,1.0000000000067502
3806B,230,MORROBAY,0.0
3831,20,DIABLO1,1.039226821443198
3835,20,MIDWAY,1.0292833770582326
3836,20,MORROBAY,0.9987509982515913
3891A,500,GATES1,1.0555065979062024
3891B,500,GATES1,0.0
3892A,500,MIDWAY1,1.039660336805058
3892B,500,MIDWAY1,0.0
3893A,500,MIDWAY2,1.053625976434094
3893B,500,MIDWAY2,0.0
3894A,500,MIDWAY3,1.0393625484534768
3894B,500,MIDWAY3,0.0
3895A,500,MIDWAY4,1.0539135884807127
3895B,500,MIDWAY4,0.0
3896A,500,MIDWAY5,1.0396324237036974
3896B,500,MIDWAY5,0.0
3897A,500,MIDWAY6,1.0552659136583102
3897B,500,MIDWAY6,0.0
3901A,500,LOSBANOS,1.0439146234698362
3901B,500,LOSBANOS,0.0
3902A,500,MOSSLAND,1.0360847210943627
3902B,500,MOSSLAND,0.0
3903A,500,TESLA,1.0310178077302778
3903B,500,TESLA,0.0
3904A,500,VACA-DIX,1.0271958525586449
3904B,500,VACA-DIX,0.0
3905A,500,TABLE MT,1.017049007895934
3905B,500,TABLE MT,0.0
3906A,500,ROUND MT,1.0139975083061044
3906B,500,ROUND MT,0.0
3907A,230,BELLOTA,1.0200304062468974
3907B,230,BELLOTA,0.0
3908A,230,BRIGHTON,1.0178958939999752
3908B,230,BRIGHTON,0.0
3909A,230,COLGATE,1.0166044699878884
3909B,230,COLGATE,0.0
3910A,230,CORTINA,1.013144578087567
3910B,230,CORTINA,0.0
3911A,230,COTWDPGE,1.0074853292229753
3911B,230,COTWDPGE,0.0
3912A,230,GLENN,1.0164684891822575
3912B,230,GLENN,0.0
3913A,230,GOLDHILL,1.0149564934892168
3913B,230,GOLDHILL,0.0
3914A,230,IGNACIO,1.0053776093594373
3914B,230,IGNACIO,0.0
3915A,230,LAKEVILE,1.0111719058543474
3915B,230,LAKEVILE,0.0
3916A,230,LOGAN CR,1.0176927087558716
3916B,230,LOGAN CR,0.0
3917A,230,LOSBANOS,1.0391902937502489
3917B,230,LOSBANOS,0.0
3918A,230,MOSSLAND,1.03245051960879
3918B,230,MOSSLAND,0.0
3919A,230,PALERMO,1.0177186902777509
3919B,230,PALERMO,0.0
3920A,230,RIO OSO,1.0145916255438097
3920B,230,RIO OSO,0.0
3921A,230,ROUND MT,1.00000000000404
3921B,230,ROUND MT,0.0
3922A,230,TABLE MT,1.0179840062262913
3922B,230,TABLE MT,0.0
3923A,230,TESLA,1.0203212125837875
3923B,230,TESLA,0.0
3924A,230,VACA-DIX,1.0207876795582156
3924B,230,VACA-DIX,0.0
3925A,115,COTWDPGE,1.0040909698891656
3925B,115,COTWDPGE,0.0
3926A,115,RIO OSO,1.0084751177255378
3926B,115,RIO OSO,0.0
3931,20,ROUND MT,0.9992511258699206
3932,20,MOSSLAND,1.0360847210943627
3933,20,TESLA,1.0199999809314175
4001A,500,MALIN,1.0099999904669028
4001B,500,MALIN,0.0
4002A,500,SUMMER L,0.9390406246674959
4002B,500,SUMMER L,0.0
4003A,500,BURNS,0.9549917043098248
4003B,500,BURNS,0.0
4004A,500,GRIZZLY,1.0292610537354172
4004B,500,GRIZZLY,0.0
4005A,500,JOHN DAY,1.0199999809282716
4005B,500,JOHN DAY,0.0
4006A,500,BIG EDDY,1.0207700593611435
4006B,500,BIG EDDY,0.0
4007A,500,CELILOCA,1.0209665507448968
4007B,500,CELILOCA,0.0
4008A,345,MALIN,1.022513837745385
4008B,345,MALIN,0.0
4009A,230,BIG EDDY,1.0299999713913655
4009B,230,BIG EDDY,0.0
4010A,230,CELILO,1.0262301813937715
4010B,230,CELILO,0.0
4031,20,MALIN,1.00199182204319
4035,20,JOHN DAY,1.0190655621567528
4039,20,DALLES21,1.0386960518899238
4090A,500,MALIN1,0.0
4090B,500,MALIN1,0.0
4091A,500,GRIZZLY1,0.0
4091B,500,GRIZZLY1,1.0320256053957757
4092A,500,GRIZZLY2,1.0245332538438676
4092B,500,GRIZZLY2,0.0
4093A,500,GRIZZLY3,1.0240220540515748
4093B,500,GRIZZLY3,0.0
4094A,500,GRIZZLY4,1.0303070898605833
4094B,500,GRIZZLY4,0.0
4095A,500,GRIZZLY5,1.0234267034854212
4095B,500,GRIZZLY5,0.0
4096A,500,GRIZZLY6,1.0228491700518925
4096B,500,GRIZZLY6,0.0
4097A,500,GRIZZLY7,1.0299239022875206
4097B,500,GRIZZLY7,0.0
4101A,500,COULEE,1.0099999904645756
4101B,500,COULEE,0.0
4102A,500,HANFORD,1.0199999809279867
4102B,500,HANFORD,0.0
4103A,500,BELL,1.014803178362953
4103B,500,BELL,0.0
4104A,230,BELL,1.0146155161726882
4104B,230,BELL,0.0
4131,20,COULEE,1.0095480011130136
4132,20,HANFORD,1.0240274017756466
4201A,500,NORTH,1.0000000000012306
4201B,500,NORTH,0.0
4202A,500,WCASCADE,1.0000000000015001
4202B,500,WCASCADE,0.0
4203A,500,WILLAMET,0.9923368464078463
4203B,500,WILLAMET,0.0
4204A,500,MERIDIAN,0.9875807033593363
4204B,500,MERIDIAN,0.0
4231,20,NORTH G3,1.0009380511336075
4232,20,WCASCADE,0.9983445343989533
5001A,500,CANADA,1.0399999618530285
5001B,500,CANADA,0.0
5002A,500,CANALB,1.0399999618530353
5002B,500,CANALB,0.0
5003A,230,CA230TO,1.0268773365526105
5003B,230,CA230TO,0.0
5004A,230,CA230,0.998708365075769
5004B,230,CA230,0.0
5031,20,CANAD G1,1.0432889956475266
5032,20,CMAIN GM,1.0423322604916698
6101A,500,MIDPOINT,0.9911408246293095
6101B,500,MIDPOINT,0.0
6102A,345,MIDPOINT,1.0000000000099094
6102B,345,MIDPOINT,0.0
6103A,345,BORAH,1.0057893655250798
6103B,345,BORAH,0.0
6104A,230,BORAH,1.0805577975418816
6104B,230,BORAH,0.0
6132,20,MIDPOINT,0.9991152736952681
6201A,500,COLSTRP,1.0000000000117732
6201B,500,COLSTRP,0.0
6202A,500,GARRISON,1.0222550799445862
6202B,500,GARRISON,0.0
6203A,230,COLSTRP,1.0116816612060513
6203B,230,COLSTRP,0.0
6204A,230,GARRISON,1.0012498758314612
6204B,230,GARRISON,0.0
6205A,230,MONTANA,1.0000000000111096
6205B,230,MONTANA,0.0
6231,20,COLSTRP,0.998155644344891
6235,20,MONTA G1,0.9996790081661328
6301A,345,BRIDGER,0.9968289258779484
6301B,345,BRIDGER,0.0
6302A,345,LARAMIE,1.0131746667908446
6302B,345,LARAMIE,0.0
6303A,230,BRIDGER2,1.0000000000109004
6303B,230,BRIDGER2,0.0
6304A,230,LARAMIE,1.0646191028870204
6304B,230,LARAMIE,0.0
6305A,230,NAUGHTON,1.0000000000099352
6305B,230,NAUGHTON,0.0
6333,20,BRIDGER,1.0018670757993042
6335,20,NAUGHT,1.0003809173356533
6401A,345,TRACYSPP,1.144406996916593
6401B,345,TRACYSPP,0.0
6402A,115,SUMITSPP,1.071405430887577
6402B,115,SUMITSPP,0.0
6403A,345,VALMY,1.0000000000101628
6403B,345,VALMY,0.0
6404A,345,GONDER,1.0323477858087489
6404B,345,GONDER,0.0
6433,20,VALMY,0.9992947491184695
6501A,345,BENLOMND,1.0278494118885328
6501B,345,BENLOMND,0.0
6502A,345,CAMP WIL,1.0209596325200252
6502B,345,CAMP WIL,0.0
6503A,345,EMERY,1.0000000000115505
6503B,345,EMERY,0.0
6504A,345,MONA,1.0223881070618466
6504B,345,MONA,0.0
6505A,345,PINTO,1.0416085593890672
6505B,345,PINTO,0.0
6506A,345,PINTO PS,1.0429106718295307
6506B,345,PINTO PS,0.0
6507A,345,SIGURD,1.0198574906109543
6507B,345,SIGURD,0.0
6508A,345,SPAN FRK,1.0157884318587396
6508B,345,SPAN FRK,0.0
6509A,345,TERMINAL,1.02128209798316
6509B,345,TERMINAL,0.0
6510A,230,BENLOMND,1.0091275101681654
6510B,230,BENLOMND,0.0
6533,20,EMERY,0.9967824230311746
7001A,345,COLOEAST,1.000000000010077
7001B,345,COLOEAST,0.0
7002A,345,CRAIG,1.0000000000099776
7002B,345,CRAIG,0.0
7031,20,COLOEAST,0.9983451948531088
7032,20,CRAIG,0.9992679429280152
8001A,500,OLINDA,1.0172140620716932
8001B,500,OLINDA,0.0
8002A,500,TRACY,1.0297310804341833
8002B,500,TRACY,0.0
8003A,230,COTWDWAP,1.0117125900735477
8003B,230,COTWDWAP,0.0
8004A,230,RNCHSECO,1.000000000004804
8004B,230,RNCHSECO,0.0
8005A,230,TRACYPMP,1.0115757612919984
8005B,230,TRACYPMP,0.0
8033,20,COTWDWAP,1.011712590073548
8034,20,RNCHSECO,1.000745735180482
